PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
611. Zach Senyshyn,,,RFA,21,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
612. Paul Postma,,,UFA,29,D,Right,,65,1,13,14,3,10:51,-,-,-,-,-,,"$925,000","$887,500"
613. Joey LaLeggia,,,UFA,25,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$883,750"
614. Sean Malone,,,RFA,22,C,Left,,1,0,0,0,0,12:12,-,-,-,-,-,,"$925,000","$883,750"
615. Dylan Sadowy,,,RFA,22,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$880,833"
616. Richard Pánik,,,UFA,27,RW,Left,,82,22,22,44,14,14:44,-,-,-,-,-,,"$875,000","$875,000"
617. Brett Ritchie,,,RFA,24,RW,Right,,78,16,8,24,11,12:53,-,-,-,-,-,,"$875,000","$875,000"
618. Jujhar Khaira,,,RFA,23,"LW, C",Left,,10,1,0,1,1,09:15,-,-,-,-,-,,"$832,500","$875,000"
619. Zachary Sanford,,,RFA,23,LW,Left,,39,4,4,8,2,12:14,-,-,-,-,-,,"$875,000","$875,000"
620. Adam Erne,,,RFA,22,"LW, RW",Left,,26,3,0,3,-9,11:48,-,-,-,-,-,,"$925,000","$874,167"
621. Tyler Gaudet,,,UFA,24,C,Left,,4,0,1,1,0,12:59,-,-,-,-,-,,"$874,125","$874,125"
622. Duncan Siemens,,,RFA,24,D,Left,,3,0,0,0,-2,12:18,-,-,-,-,-,,"$874,125","$874,125"
623. Brandon Tanev,,,RFA,26,"LW, RW",Left,,51,2,2,4,-6,10:40,-,-,-,-,-,,"$874,125","$874,125"
624. Danton Heinen,,,RFA,22,"C, LW, RW",Left,,8,0,0,0,-3,13:14,-,-,-,-,-,,"$767,500","$872,500"
625. Gustav Forsling,,,RFA,21,D,Left,,38,2,3,5,3,14:49,-,-,-,-,-,,"$767,500","$872,500"
626. Devin Shore,,,RFA,23,"C, LW, RW",Left,,82,13,20,33,-4,14:08,-,-,-,-,-,,"$867,500","$870,000"
627. Tyler Benson,,,RFA,20,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$870,000"
628. Derrick Pouliot,,,RFA,24,D,Left,,11,0,0,0,-4,14:53,-,-,-,-,-,,"$832,500","$863,333"
629. Darnell Nurse,,,RFA,23,D,Left,,44,5,6,11,0,17:01,-,-,-,-,-,,"$832,500","$863,333"
630. Radek Faksa,,,RFA,24,C,Left,,80,12,21,33,-6,16:10,-,-,-,-,-,,"$832,500","$863,333"
631. Julius Honka,,,RFA,22,D,Right,,16,1,4,5,-4,16:52,-,-,-,-,-,,"$925,000","$863,333"
632. Emile Poirier,,,RFA,23,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$863,333"
633. Kerby Rychel,,,RFA,23,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$863,333"
634. Ryan Hartman,,,RFA,23,RW,Right,,76,19,12,31,13,12:46,-,-,-,-,-,,"$832,500","$863,333"
635. Scott Laughton,,,RFA,23,C,Left,,2,0,0,0,0,10:14,-,-,-,-,-,,"$832,500","$863,333"
636. Kevin Fiala,,,RFA,21,LW,Left,,54,11,5,16,1,13:30,-,-,-,-,-,,"$925,000","$863,333"
637. Nikolay Goldobin,,,RFA,22,LW,Left,,14,3,0,3,0,09:49,-,-,-,-,-,,"$925,000","$863,333"
638. Max Domi,,,RFA,23,"LW, C",Left,,59,9,29,38,-9,16:58,-,-,-,-,-,,"$832,500","$863,333"
639. Kasperi Kapanen,,,RFA,21,RW,Right,,8,1,0,1,-2,10:41,-,-,-,-,-,,"$925,000","$863,333"
640. Haydn Fleury,,,RFA,21,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$863,333"
641. Nikita Scherbak,,,RFA,22,RW,Left,,3,1,0,1,1,11:22,-,-,-,-,-,,"$925,000","$863,333"
642. Michael McCarron,,,RFA,23,"RW, C",Right,,31,1,4,5,-4,09:53,-,-,-,-,-,,"$832,500","$863,333"
643. Hunter Shinkaruk,,,RFA,23,C,Left,,7,0,1,1,-3,10:35,-,-,-,-,-,,"$832,500","$863,333"
644. Brendan Gaunce,,,RFA,24,"LW, C",Left,,57,0,5,5,-2,09:29,-,-,-,-,-,,"$832,500","$863,333"
645. Griffin Reinhart,,,RFA,24,D,Left,,0,0,0,0,0,00:00,-,-,-,-,-,,"$832,500","$863,333"
646. Ryan Pulock,,,RFA,23,D,Right,,1,0,0,0,1,03:57,-,-,-,-,-,,"$832,500","$863,333"
647. Malcolm Subban,,,RFA,24,G,Left,,1,-,-,-,-,-,0,1,0,5.81,.813,,"$832,500","$863,333"
648. Anthony Mantha,,,RFA,23,RW,Left,,60,17,19,36,10,15:54,-,-,-,-,-,,"$832,500","$863,333"
649. Jakub Vrána,,,RFA,22,LW,Left,,21,3,3,6,2,11:06,-,-,-,-,-,,"$925,000","$863,333"
650. Shea Theodore,,,RFA,22,D,Left,,34,2,7,9,-6,17:18,-,-,-,-,-,,"$832,500","$863,333"
651. Brendan Perlini,,,RFA,21,LW,Left,,57,14,7,21,-4,14:50,-,-,-,-,-,,"$925,000","$863,333"
652. Joshua Morrissey,,,RFA,23,D,Left,,82,6,14,20,6,19:29,-,-,-,-,-,,"$832,500","$863,333"
653. Joshua Ho-Sang,,,RFA,22,"RW, C",Right,,21,4,6,10,1,16:27,-,-,-,-,-,,"$925,000","$863,333"
654. Michael Dal Colle,,,RFA,21,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$863,333"
655. Samuel Morin,,,RFA,22,D,Left,,1,0,0,0,0,17:47,-,-,-,-,-,,"$832,500","$863,333"
656. Travis Sanheim,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$863,333"
657. Morgan Klimchuk,,,RFA,23,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$863,333"
658. Anthony Deangelo,,,RFA,22,D,Right,,39,5,9,14,-13,17:05,-,-,-,-,-,,"$925,000","$863,333"
659. Sonny Milano,,,RFA,21,LW,Left,,4,0,0,0,-3,11:41,-,-,-,-,-,,"$925,000","$863,333"
660. Frédérik Gauthier,,,RFA,22,C,Left,,21,2,1,3,2,09:41,-,-,-,-,-,,"$832,500","$863,333"
661. Kyle Rau,,,UFA,25,C,Left,,24,2,1,3,-3,09:36,-,-,-,-,-,,"$925,000","$858,750"
662. Colton Parayko,,,UFA,24,D,Right,,81,4,31,35,7,21:11,-,-,-,-,-,,"$925,000","$858,750"
663. Andrew Poturalski,,,RFA,24,C,Right,,2,0,0,0,-3,12:16,-,-,-,-,-,,"$792,500","$858,750"
664. Danny O'Regan,,,RFA,24,"C, LW",Right,,3,1,0,1,-2,11:33,-,-,-,-,-,,"$792,500","$858,750"
665. Matt Grzelcyk,,,RFA,24,D,Left,,2,0,0,0,0,12:29,-,-,-,-,-,,"$792,500","$858,750"
666. Jérémy Roy,,,RFA,20,D,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$858,333"
667. Adam Pelech,,,RFA,23,D,Left,,44,3,7,10,-5,16:50,-,-,-,-,-,,"$925,000","$854,333"
668. Christian Fischer,,,RFA,20,RW,Right,,7,3,0,3,0,12:19,-,-,-,-,-,,$0,"$852,500"
669. Ben Chiarot,,,UFA,26,D,Left,,59,2,10,12,2,15:19,-,-,-,-,-,,"$850,000","$850,000"
670. Zac Rinaldo,,,UFA,27,"C, LW, RW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$850,000","$850,000"
671. Brett Connolly,,,UFA,25,"RW, LW",Right,,66,15,8,23,20,10:41,-,-,-,-,-,,"$850,000","$850,000"
672. Shane Prince,,,RFA,25,LW,Left,,50,5,13,18,-9,12:58,-,-,-,-,-,,"$800,000","$850,000"
673. Ville Husso,,,RFA,23,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$692,500","$847,500"
674. Chris Bigras,,,RFA,23,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$843,333"
675. Evan Rodrigues,,,RFA,24,C,Right,,30,4,2,6,-7,12:55,-,-,-,-,-,,"$842,500","$842,500"
676. Nick Lappin,,,RFA,25,RW,Right,,43,4,3,7,-17,11:43,-,-,-,-,-,,"$842,500","$842,500"
677. Ádám Vay,,,RFA,24,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$842,500","$842,500"
678. Pascal Laberge,,,RFA,19,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$842,500"
679. Nick Cousins,,,RFA,24,"C, LW",Left,,60,6,10,16,-6,12:00,-,-,-,-,-,,"$840,000","$840,000"
680. Christian Dvorak,,,RFA,22,"C, LW",Left,,78,15,18,33,7,15:37,-,-,-,-,-,,"$792,500","$839,167"
681. Brendan Lemieux,,,RFA,22,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$839,167"
682. Mitchell Stephens,,,RFA,21,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$839,167"
683. Artturi Lehkonen,,,RFA,22,LW,Left,,73,18,10,28,-1,13:51,-,-,-,-,-,,"$667,500","$839,167"
684. Dillon Simpson,,,UFA,25,D,Left,,3,0,0,0,0,10:53,-,-,-,-,-,,"$925,000","$836,667"
685. Yan-Pavel Laplante,,,RFA,22,C,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$836,667"
686. Vladislav Kamenev,,,RFA,21,C,Left,,2,0,0,0,-1,10:03,-,-,-,-,-,,"$742,500","$833,333"
687. Josh Manson,,,UFA,26,D,Right,,82,5,12,17,14,18:37,-,-,-,-,-,,"$825,000","$825,000"
688. Micheal Ferland,,,UFA,25,"LW, RW",Left,,76,15,10,25,-1,11:33,-,-,-,-,-,,"$900,000","$825,000"
689. Trevor van Riemsdyk,,,RFA,26,D,Right,,58,5,11,16,17,18:24,-,-,-,-,-,,"$750,000","$825,000"
690. Mason McDonald,,,RFA,21,G,Right,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$792,500","$822,500"
691. Michael Downing,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$820,000"
692. Phillip Di Giuseppe,,,RFA,24,LW,Left,,36,1,6,7,-12,12:17,-,-,-,-,-,,"$867,500","$817,500"
693. Austin Czarnik,,,UFA,25,RW,Right,,49,5,8,13,-10,13:00,-,-,-,-,-,,"$842,500","$817,500"
694. Markus Nutivaara,,,UFA,23,D,Left,,66,2,5,7,7,13:12,-,-,-,-,-,,"$792,500","$817,500"
695. Cédric Paquette,,,RFA,24,"C, LW",Left,,58,4,6,10,-6,11:31,-,-,-,-,-,,"$800,000","$812,500"
696. Nate Schmidt,,,UFA,26,D,Left,,60,3,14,17,22,15:28,-,-,-,-,-,,"$875,000","$812,500"
697. Teemu Pulkkinen,,,RFA,26,LW,Right,,13,2,0,2,-2,09:45,-,-,-,-,-,,"$812,500","$812,500"
698. Artemi Panarin,,,UFA,26,LW,Right,,82,31,43,74,18,19:28,-,-,-,-,-,,"$925,000","$812,500"
699. Brock McGinn,,,RFA,24,LW,Left,,57,7,9,16,-11,11:59,-,-,-,-,-,,"$800,000","$811,667"
700. Alex Nedeljkovic,,,RFA,22,G,Left,,1,-,-,-,-,-,0,0,0,0.00,1.000,,"$792,500","$811,667"
701. John Quenneville,,,RFA,21,C,Left,,12,1,3,4,1,13:41,-,-,-,-,-,,"$842,500","$811,667"
702. Brett Pesce,,,UFA,23,D,Right,,82,2,18,20,23,21:12,-,-,-,-,-,,"$792,500","$809,167"
703. Dryden Hunt,,,RFA,22,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$809,167"
704. Alex DeBrincat,,,RFA,20,"RW, LW",Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$809,167"
705. Adam Wilcox,,,UFA,25,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$808,750"
706. Jonny Brodzinski,,,RFA,24,C,Right,,6,0,2,2,2,12:17,-,-,-,-,-,,"$925,000","$808,750"
707. Sean Kuraly,,,RFA,25,"C, LW",Left,,8,0,1,1,-1,09:12,-,-,-,-,-,,"$692,500","$808,750"
708. Dominik Masin,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$808,333"
709. Ryan Gropp,,,RFA,21,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$808,333"
710. Adam Tambellini,,,RFA,23,C,Left,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$803,333"
711. Jordan Kyrou,,,RFA,19,"C, RW",Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$803,333"
712. Jonathon Martin,,,RFA,22,"C, RW",Right,,0,0,0,0,0,,-,-,-,-,-,,"$717,500","$800,833"
713. Alex Chiasson,,,UFA,27,RW,Right,,81,12,12,24,-6,13:23,-,-,-,-,-,,"$800,000","$800,000"
714. Patrick Wiercioch,,,UFA,27,D,Left,,57,4,8,12,-18,16:39,-,-,-,-,-,,"$800,000","$800,000"
715. Brian Dumoulin,,,UFA,26,D,Left,,70,1,14,15,0,20:32,-,-,-,-,-,,"$800,000","$800,000"
716. Taylor Chorney,,,UFA,30,D,Left,,18,1,4,5,8,14:15,-,-,-,-,-,,"$775,000","$800,000"
717. Chris Wideman,,,UFA,28,D,Right,,76,5,12,17,7,13:57,-,-,-,-,-,,"$800,000","$800,000"
718. Dylan McIlrath,,,UFA,25,D,Right,,6,1,0,1,-2,09:34,-,-,-,-,-,,"$800,000","$800,000"
719. Curtis McElhinney,,,UFA,34,G,Left,,21,-,-,-,-,-,8,8,1,2.70,.917,,"$800,000","$800,000"
720. Gabriel Bourque,,,UFA,27,"LW, RW",Left,,6,0,0,0,0,11:12,-,-,-,-,-,,"$800,000","$800,000"
721. Greg Pateryn,,,UFA,27,D,Right,,36,1,8,9,-1,17:30,-,-,-,-,-,,"$750,000","$800,000"
722. Ben Holmstrom,,,UFA,30,C,Right,,0,0,0,0,0,,-,-,-,-,-,,"$800,000","$800,000"
723. Joe Morrow,,,RFA,25,D,Left,,17,0,1,1,-4,15:31,-,-,-,-,-,,"$800,000","$800,000"
724. Bracken Kearns,,,UFA,36,C,Left,,2,0,0,0,-1,11:11,-,-,-,-,-,,"$800,000","$800,000"
725. Tom Pyatt,,,UFA,31,C,Left,,82,9,14,23,9,15:37,-,-,-,-,-,,"$800,000","$800,000"
726. Adam Chapie,,,RFA,26,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$750,000","$800,000"
727. Ryan MacInnis,,,RFA,22,C,Left,,0,0,0,0,0,,-,-,-,-,-,,"$717,500","$797,500"
728. Matthew Peca,,,UFA,24,C,Left,,10,1,1,2,-3,11:26,-,-,-,-,-,,"$925,000","$796,250"
729. Gustav Olofsson,,,RFA,23,D,Left,,13,0,3,3,-1,13:28,-,-,-,-,-,,"$925,000","$795,000"
730. Keaton Thompson,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$795,000"
731. Marcus Pettersson,,,RFA,21,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$725,000","$794,167"
732. Justin Hickman,,,RFA,24,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$792,500"
733. Frank Vatrano,,,RFA,24,"LW, C",Left,,44,10,8,18,-3,13:28,-,-,-,-,-,,"$792,500","$792,500"
734. Noel Acciari,,,UFA,26,"C, RW",Right,,29,2,3,5,3,10:22,-,-,-,-,-,,"$892,500","$792,500"
735. Jordan Maletta,,,RFA,22,C,Right,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$792,500"
736. Mario Lucia,,,RFA,24,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$767,500","$792,500"
737. Sam Anas,,,RFA,24,C,Right,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$792,500"
738. Linus Hultström,,,RFA,25,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$792,500"
739. Yohann Auvitu,,,UFA,28,"D, LW",Left,,25,2,2,4,1,15:36,-,-,-,-,-,,"$792,500","$792,500"
740. Carter Hart,,,RFA,19,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,$0,"$792,500"
741. Brandon Carlo,,,RFA,21,D,Right,,82,6,10,16,9,20:48,-,-,-,-,-,,"$717,500","$789,167"
742. Ryan Murphy,,,RFA,25,D,Right,,27,0,2,2,-11,13:10,-,-,-,-,-,,"$750,000","$787,500"
743. Jaycob Megna,,,RFA,25,D,Left,,1,0,0,0,1,15:20,-,-,-,-,-,,"$925,000","$786,667"
744. Michael Mersch,,,UFA,25,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$786,667"
745. Rasmus Andersson,,,RFA,21,D,Right,,1,0,0,0,-1,18:33,-,-,-,-,-,,$0,"$786,667"
746. Anton Blidh,,,RFA,23,LW,Left,,19,1,1,2,-2,08:46,-,-,-,-,-,,"$792,500","$784,167"
747. Pontus Åberg,,,RFA,24,LW,Right,,15,1,1,2,-2,12:20,-,-,-,-,-,,"$842,500","$780,833"
748. Taylor Leier,,,RFA,24,LW,Left,,10,1,1,2,-1,09:03,-,-,-,-,-,,"$768,150","$779,617"
749. Carter Verhaeghe,,,RFA,22,C,Left,,0,0,0,0,0,,-,-,-,-,-,,"$842,500","$778,333"
750. Rinat Valiev,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$842,500","$778,333"
751. Paul Bittner,,,RFA,21,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$778,333"
752. Michael Brodzinski,,,RFA,22,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$778,333"
753. Oscar Dansk,,,RFA,24,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$792,500","$775,833"
754. Linus Ullmark,,,RFA,24,G,Left,,1,-,-,-,-,-,0,1,0,3.05,.917,,"$892,500","$775,833"
755. Christoph Bertschy,,,RFA,23,C,Right,,5,0,1,1,0,08:08,-,-,-,-,-,,"$742,500","$775,833"
756. Andreas Englund,,,RFA,22,D,Left,,5,0,0,0,-3,10:37,-,-,-,-,-,,"$742,500","$775,833"
757. Aleksi Saarela,,,RFA,21,"C, LW",Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$775,833"
758. Kyle Capobianco,,,RFA,20,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$775,833"
759. Vitaly Abramov,,,RFA,19,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$775,833"
760. Nicolas Deslauriers,,,UFA,27,LW,Left,,42,0,2,2,-6,07:24,-,-,-,-,-,,"$775,000","$775,000"
761. Ludwig Byström,,,RFA,23,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$775,000"
762. Tim Heed,,,UFA,27,D,Right,,1,0,0,0,0,16:29,-,-,-,-,-,,"$775,000","$775,000"
763. Anthony Duclair,,,RFA,22,"LW, RW",Left,,58,5,10,15,-7,13:17,-,-,-,-,-,,"$832,500","$772,500"
764. Brandon Halverson,,,RFA,22,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$742,500","$772,500"
765. Dillon Heatherington,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$770,833"
766. Jérémy Lauzon,,,RFA,20,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$770,000"
767. Dean Kukan,,,RFA,24,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$767,500"
768. Daniel Renouf,,,RFA,23,D,Left,,1,0,0,0,0,13:35,-,-,-,-,-,,"$692,500","$767,500"
769. Jesse Gabrielle,,,RFA,20,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$767,500"
770. Yakov Trenin,,,RFA,21,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$761,667"
771. Oliver Kylington,,,RFA,20,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$761,667"
772. Filip Chlapik,,,RFA,20,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$759,167"
773. Nicolas Petan,,,RFA,23,C,Left,,54,1,12,13,-13,10:54,-,-,-,-,-,,"$750,000","$758,333"
774. Chris Driedger,,,RFA,23,G,Left,,1,-,-,-,-,-,0,1,0,6.00,.733,,"$780,000","$755,000"
775. Jordan Subban,,,RFA,23,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$755,000"
776. Cristoval Nieves,,,RFA,24,"C, LW",Left,,1,0,0,0,-1,11:44,-,-,-,-,-,,"$742,500","$755,000"
777. Anthony Stolarz,,,RFA,24,G,Left,,7,-,-,-,-,-,2,1,1,2.07,.928,,"$725,000","$753,333"
778. Andreas Johnsson,,,RFA,23,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$750,833"
779. Carl Dahlström,,,RFA,23,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$750,833"
780. Justin Scott,,,RFA,22,"RW, C",Left,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$750,833"
781. Jacob Graves,,,RFA,23,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$750,833"
782. Mark Barberio,,,UFA,28,D,Left,,60,2,11,13,-5,20:39,-,-,-,-,-,,"$800,000","$750,000"
783. Laurent Brossoit,,,UFA,25,G,Left,,8,-,-,-,-,-,4,1,0,1.99,.928,,"$650,000","$750,000"
784. Buddy Robinson,,,UFA,26,RW,Right,,4,0,0,0,0,06:56,-,-,-,-,-,,"$750,000","$750,000"
785. Ryan Dzingel,,,UFA,26,"C, RW",Left,,81,14,18,32,7,14:23,-,-,-,-,-,,"$750,000","$750,000"
786. Jonathan Marchessault,,,UFA,27,"RW, LW",Right,,75,30,21,51,-21,16:54,-,-,-,-,-,,"$750,000","$750,000"
787. Cody Goloubef,,,UFA,28,D,Right,,33,0,5,5,-11,16:59,-,-,-,-,-,,"$800,000","$750,000"
788. Philipp Grubauer,,,RFA,26,G,Left,,24,-,-,-,-,-,13,6,3,2.04,.926,,"$850,000","$750,000"
789. Connor Carrick,,,RFA,23,D,Right,,67,2,6,8,8,16:20,-,-,-,-,-,,"$650,000","$750,000"
790. Viktor Svedberg,,,UFA,26,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$650,000","$750,000"
791. Keegan Lowe,,,UFA,25,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$750,000","$750,000"
792. Jordin Tootoo,,,UFA,35,RW,Right,,50,2,1,3,-6,06:44,-,-,-,-,-,,"$750,000","$750,000"
793. Klas Dahlbeck,,,RFA,26,D,Left,,43,2,4,6,-12,13:53,-,-,-,-,-,,"$750,000","$750,000"
794. Alex Biega,,,UFA,29,D,Right,,36,0,3,3,-4,13:10,-,-,-,-,-,,"$700,000","$750,000"
795. Brett Gallant,,,UFA,29,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$750,000","$750,000"
796. Steven Fogarty,,,RFA,24,"C, RW",Right,,0,0,0,0,0,,-,-,-,-,-,,"$750,000","$750,000"
797. Esa Lindell,,,RFA,23,D,Left,,73,6,12,18,8,21:52,-,-,-,-,-,,"$802,500","$745,833"
798. Niklas Hansson,,,RFA,23,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$745,833"
799. Roland McKeown,,,RFA,22,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$717,500","$745,000"
800. Laurent Dauphin,,,RFA,23,C,Left,,24,2,1,3,-2,10:54,-,-,-,-,-,,"$767,500","$745,000"
801. Julius Nattinen,,,RFA,21,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$745,000"
802. Dylan Blujus,,,UFA,24,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$742,500"
803. Joonas Korpisalo,,,RFA,23,G,Left,,14,-,-,-,-,-,7,5,1,2.88,.905,,"$792,500","$742,500"
804. Jaccob Slavin,,,UFA,23,D,Left,,82,5,29,34,23,23:26,-,-,-,-,-,,"$742,500","$742,500"
805. Matthew Spencer,,,RFA,21,D,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$742,500"
806. Daniel Vladar,,,RFA,20,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,$0,"$742,500"
807. Peter Cehlárik,,,RFA,22,"LW, RW",Left,,11,0,2,2,0,13:54,-,-,-,-,-,,"$692,500","$742,500"
808. Justin Holl,,,RFA,26,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$742,500"
809. John Gilmour,,,RFA,24,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$742,500","$742,500"
810. Thomas DiPauli,,,RFA,23,"C, LW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$742,500"
811. Gabriel Gagné,,,RFA,21,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$742,500"
812. Mathieu Joseph,,,RFA,21,RW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$742,500"
813. Ivan Barbashev,,,RFA,22,C,Left,,30,5,7,12,5,11:47,-,-,-,-,-,,"$742,500","$741,667"
814. AJ Greer,,,RFA,21,LW,Left,,5,0,1,1,-2,13:39,-,-,-,-,-,,"$725,000","$741,667"
815. Calvin Thürkauf,,,RFA,20,"C, LW",Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$738,333"
816. Mike Blunden,,,UFA,31,RW,Right,,2,0,0,0,0,08:07,-,-,-,-,-,,"$725,000","$737,500"
817. Nikita Soshnikov,,,RFA,24,RW,Left,,56,5,4,9,1,10:50,-,-,-,-,-,,"$742,500","$736,666"
818. Adam Musil,,,RFA,21,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$735,833"
819. Parker Wotherspoon,,,RFA,20,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$735,833"
820. Matt Nieto,,,RFA,25,"LW, RW",Left,,59,7,6,13,-12,15:56,-,-,-,-,-,,"$735,000","$735,000"
821. Kyle Platzer,,,RFA,23,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$735,000","$735,000"
822. Jake Guentzel,,,RFA,23,"LW, C",Left,,40,16,17,33,7,15:53,-,-,-,-,-,,"$667,500","$734,167"
823. Sergey Zborovskiy,,,RFA,21,D,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$734,167"
824. Nathan Bastian,,,RFA,20,"RW, C",Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$734,167"
825. Mattias Janmark,,,RFA,25,C,Left,,0,0,0,0,0,,-,-,-,-,-,,"$792,500","$733,750"
826. Ethan Prow,,,RFA,25,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$692,500","$730,000"
827. Maxime Lajoie,,,RFA,20,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$730,000"
828. Alex Lintuniemi,,,RFA,22,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$717,500","$729,167"
829. Remi Elie,,,RFA,22,LW,Left,,18,1,6,7,5,15:37,-,-,-,-,-,,"$767,500","$728,333"
830. Spencer Martin,,,RFA,22,G,Left,,3,-,-,-,-,-,0,2,0,4.36,.865,,"$742,500","$728,333"
831. Vince Dunn,,,RFA,21,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$728,333"
832. Chandler Stephenson,,,RFA,23,C,Left,,4,0,0,0,0,08:52,-,-,-,-,-,,"$842,500","$725,833"
833. Adin Hill,,,RFA,21,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$667,500","$725,833"
834. Josh Jacobs,,,RFA,22,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$667,500","$725,833"
