PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
120. Jimmy Howard,,M-NTC,UFA,34,G,Left,,26,-,-,-,-,-,10,11,1,2.10,.927,,"$5,500,000","$5,291,667"
121. Marián Hossa,,NMC,UFA,39,RW,Left,,73,26,19,45,7,16:51,-,-,-,-,-,,"$4,000,000","$5,275,000"
122. Jeff Carter,,,UFA,33,"C, RW",Right,,82,32,34,66,2,18:01,-,-,-,-,-,,"$7,000,000","$5,272,727"
123. David Clarkson,,"M-NTC, NMC",UFA,34,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$7,000,000","$5,250,000"
124. Joffrey Lupul,,M-NTC,UFA,34,"LW, RW",Right,,0,0,0,0,0,,-,-,-,-,-,,"$5,250,000","$5,250,000"
125. Jamie Benn,,NMC,UFA,28,LW,Left,,77,26,43,69,-9,19:22,-,-,-,-,-,,"$5,750,000","$5,250,000"
126. Torey Krug,,,UFA,26,D,Left,,81,8,43,51,-10,21:36,-,-,-,-,-,,"$5,000,000","$5,250,000"
127. Evander Kane,,,UFA,26,LW,Left,,70,28,15,43,-17,19:12,-,-,-,-,-,,"$6,000,000","$5,250,000"
128. Frans Nielsen,,NMC,UFA,33,C,Left,,79,17,24,41,-19,17:08,-,-,-,-,-,,"$6,000,000","$5,250,000"
129. Mike Hoffman,,,UFA,28,"LW, C",Left,,74,26,35,61,17,17:35,-,-,-,-,-,,"$3,800,000","$5,187,500"
130. Jared Spurgeon,,,UFA,28,D,Right,,76,10,28,38,33,24:01,-,-,-,-,-,,"$4,250,000","$5,187,500"
131. Zach Bogosian,,,UFA,27,D,Right,,56,2,9,11,-17,20:05,-,-,-,-,-,,"$5,250,000","$5,142,857"
132. Brayden Schenn,,,UFA,26,"C, LW",Left,,79,25,30,55,-13,17:48,-,-,-,-,-,,"$6,000,000","$5,125,000"
133. Frederik Andersen,,,UFA,28,G,Left,,66,-,-,-,-,-,33,16,4,2.67,.918,,"$5,000,000","$5,000,000"
134. Morgan Rielly,,,UFA,24,D,Left,,76,6,21,27,-20,22:10,-,-,-,-,-,,"$5,000,000","$5,000,000"
135. Valtteri Filppula,,"M-NTC, NMC",UFA,34,"C, LW",Left,,79,12,30,42,-1,17:07,-,-,-,-,-,,"$5,000,000","$5,000,000"
136. Derick Brassard,,M-NTC,UFA,30,C,Left,,81,14,25,39,12,17:22,-,-,-,-,-,,"$5,000,000","$5,000,000"
137. Alexander Edler,,NTC,UFA,31,D,Left,,68,6,15,21,-20,24:18,-,-,-,-,-,,"$6,000,000","$5,000,000"
